Matrix rc_dimension lower_bandwidth upper_bandwidth max_bandwidth average_bandwidth max_column_length min_column_length max_row_length min_row_length zero_column_number zero_row_number diag_domi_column_percentage diag_domi_row_percentage Frobenius_norm sym_part_Frobenius_norm nonsym_part_Frobenius_norm matching_elements_number relative_sym_match average_dist_of_a standard_deviation nonzero_number_in_skyline nonzero_number_of_lower_part nonzero_number_of_upper_part nonzero_number_of_maindiag
ash608 60.0 42.0 2.0 14.0 4.883333333333334 2.0 2.0 7.0 -9.0 0.0 11.0 0.03333333333333333 0.55 10.954451150103322 7.937253933193772 7.54983443527075 6.0 0.05000000074505806 18.391666666666666 11.9744838673276 2311.0 2.0 116.0 2.0
ash85 60.0 39.0 0.0 40.0 11.15 6.0 1.0 31.0 -38.0 0.0 14.0 0.16666666666666666 0.21666666666666667 14.422205101855956 11.575836902790225 8.602325267042627 60.0 0.2884615361690521 5.115384615384615 7.2008382155077735 669.0 0.0 148.0 60.0
ash958 60.0 42.0 2.0 14.0 4.883333333333334 2.0 2.0 7.0 -9.0 0.0 11.0 0.03333333333333333 0.55 10.954451150103322 7.937253933193772 7.54983443527075 6.0 0.05000000074505806 18.391666666666666 11.9744838673276 2311.0 2.0 116.0 2.0
bcspwr01 39.0 38.0 0.0 39.0 8.487179487179487 4.0 1.0 37.0 -37.0 0.0 14.0 0.7692307692307693 0.6410256410256411 9.219544457292887 7.874007874011811 4.795831523312719 39.0 0.4588235318660736 4.047058823529412 7.765543626821575 331.0 0.0 46.0 39.0
bcspwr02 49.0 34.0 0.0 35.0 8.693877551020408 5.0 1.0 27.0 -33.0 0.0 17.0 0.6938775510204082 0.6122448979591837 10.392304845413264 8.860022573334675 5.431390245600108 49.0 0.45370370149612427 4.972222222222222 8.487963518498297 426.0 0.0 59.0 49.0
bcspwr03 60.0 15.0 0.0 16.0 2.6333333333333333 8.0 1.0 10.0 -10.0 0.0 25.0 0.7833333333333333 0.7166666666666667 11.180339887498949 9.617692030835672 5.7008771254956905 60.0 0.47999998927116394 1.784 2.9328048008689547 158.0 0.0 65.0 60.0
bcspwr04 60.0 53.0 0.0 54.0 11.8 6.0 1.0 40.0 -52.0 0.0 15.0 0.7666666666666667 0.7166666666666667 11.0 9.513148795220223 5.522680508593631 60.0 0.4958677589893341 7.983471074380165 12.929550669440381 708.0 0.0 61.0 60.0
bcspwr05 60.0 37.0 0.0 38.0 3.25 3.0 1.0 36.0 -36.0 0.0 15.0 0.95 0.9 9.486832980505138 8.660254037844387 3.872983346207417 60.0 0.6666666865348816 1.6555555555555554 5.344074831293917 195.0 0.0 30.0 60.0
bcspwr06 60.0 29.0 0.0 30.0 3.4 4.0 1.0 29.0 -28.0 0.0 18.0 0.9333333333333333 0.8833333333333333 9.797958971132712 8.831760866327848 4.242640687119284 60.0 0.625 1.65625 4.712191910795513 204.0 0.0 36.0 60.0
bcspwr07 60.0 36.0 0.0 37.0 4.816666666666666 4.0 1.0 36.0 -35.0 0.0 17.0 0.9166666666666666 0.8666666666666667 9.9498743710662 8.916277250063503 4.415880433163924 60.0 0.6060606241226196 2.6565656565656566 7.115442895507247 289.0 0.0 39.0 60.0
bcspwr08 60.0 28.0 0.0 29.0 2.8 4.0 1.0 25.0 -27.0 0.0 15.0 0.95 0.9 9.695359714832659 8.774964387392123 4.1231056256176615 60.0 0.6382978558540344 1.2234042553191489 3.4057343861373095 168.0 0.0 34.0 60.0
bcspwr09 60.0 3.0 0.0 4.0 1.2666666666666666 3.0 1.0 2.0 -1.0 0.0 13.0 0.9333333333333333 1.0 8.660254037844387 8.215838362577491 2.738612787525832 60.0 0.800000011920929 0.26666666666666666 0.596284793999944 76.0 0.0 15.0 60.0
bcspwr10 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 7.745966692414834 7.745966692414834 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstk01 48.0 35.0 0.0 36.0 18.729166666666668 10.0 1.0 18.0 -28.0 0.0 7.0 0.7083333333333334 0.5416666666666666 7.291988925483891E9 7.174312086259641E9 1.3047408088691576E9 48.0 0.2142857164144516 9.714285714285714 10.474824045085924 899.0 0.0 176.0 48.0
bcsstk02 60.0 59.0 0.0 60.0 30.5 60.0 1.0 1.0 -58.0 0.0 1.0 0.6666666666666666 0.55 47318.84947005023 45220.63074994803 13934.420323290393 60.0 0.032786883413791656 19.666666666666668 14.255603186895378 1830.0 0.0 1770.0 60.0
bcsstk04 60.0 41.0 0.0 42.0 22.8 29.0 1.0 6.0 -28.0 0.0 3.0 0.65 0.6 3.0567819118277695E7 3.034646525233218E7 3672003.8584864074 60.0 0.08264462649822235 15.300275482093664 11.027547521177285 1368.0 0.0 666.0 60.0
bcsstk05 60.0 28.0 0.0 29.0 14.666666666666666 11.0 1.0 10.0 -19.0 0.0 5.0 0.6666666666666666 0.6666666666666666 1.1486978017666139E7 1.1066676044134775E7 3078854.545528023 60.0 0.17804154753684998 8.008902077151335 7.300455921246758 880.0 0.0 277.0 60.0
bcsstk06 60.0 47.0 0.0 48.0 16.616666666666667 17.0 1.0 35.0 -46.0 0.0 6.0 0.5666666666666667 0.6833333333333333 5.419529750413268E9 5.246323490817621E9 1.3591881934852555E9 60.0 0.13636364042758942 11.211363636363636 15.690424351250474 997.0 0.0 380.0 60.0
bcsstk07 60.0 47.0 0.0 48.0 16.616666666666667 17.0 1.0 35.0 -46.0 0.0 6.0 0.5666666666666667 0.6833333333333333 5.419529750413268E9 5.246323490817621E9 1.3591881934852555E9 60.0 0.13636364042758942 11.211363636363636 15.690424351250474 997.0 0.0 380.0 60.0
bcsstk08 60.0 56.0 0.0 57.0 19.25 7.0 1.0 6.0 -55.0 0.0 5.0 0.75 0.9333333333333333 7.724850982636925E10 7.724624107178557E10 5.920394195104188E8 60.0 0.25531914830207825 10.391489361702128 14.03005633490206 1155.0 0.0 175.0 60.0
bcsstk09 60.0 59.0 0.0 60.0 7.216666666666667 6.0 1.0 54.0 -58.0 0.0 14.0 0.9833333333333333 0.95 1.8537758004299492E8 1.826341773715589E8 3.177427321609333E7 60.0 0.2985074520111084 5.213930348258707 13.333047446255632 433.0 0.0 141.0 60.0
bcsstk10 60.0 37.0 0.0 38.0 22.033333333333335 15.0 1.0 15.0 -27.0 0.0 6.0 0.5166666666666667 0.48333333333333334 5.692327010916205E7 5.393730186205385E7 1.819412398996734E7 60.0 0.14598539471626282 14.309002433090024 12.361717521259733 1322.0 0.0 351.0 60.0
bcsstk11 60.0 56.0 0.0 57.0 12.383333333333333 16.0 1.0 46.0 -55.0 0.0 4.0 0.85 0.75 1.1047164635976822E9 1.09991638226476E9 1.0287087522409658E8 60.0 0.190476194024086 10.980952380952381 18.69181008282332 743.0 0.0 255.0 60.0
bcsstk12 60.0 56.0 0.0 57.0 12.383333333333333 16.0 1.0 46.0 -55.0 0.0 4.0 0.85 0.75 1.1047164635976822E9 1.09991638226476E9 1.0287087522409658E8 60.0 0.190476194024086 10.980952380952381 18.69181008282332 743.0 0.0 255.0 60.0
bcsstk13 60.0 41.0 0.0 42.0 11.566666666666666 11.0 1.0 27.0 -40.0 0.0 4.0 0.85 0.7833333333333333 1.0484628859434833E11 1.0318243455975691E11 1.860455402128359E10 60.0 0.1599999964237213 5.352 7.1415285011916945 694.0 0.0 315.0 60.0
bcsstk14 60.0 35.0 0.0 36.0 21.616666666666667 23.0 1.0 5.0 -22.0 0.0 3.0 0.75 0.6666666666666666 4.1318008329916472E9 4.094891983132822E9 5.510333655823518E8 60.0 0.09316769987344742 12.420807453416149 10.535577199454172 1297.0 0.0 584.0 60.0
bcsstk15 60.0 59.0 0.0 60.0 26.583333333333332 20.0 1.0 21.0 -58.0 0.0 2.0 0.75 0.7833333333333333 2.4086385774450368E8 2.349835238474849E8 5.2897462016461775E7 60.0 0.10273972898721695 13.996575342465754 14.746139101768536 1595.0 0.0 524.0 60.0
bcsstk16 60.0 19.0 0.0 20.0 9.233333333333333 10.0 1.0 5.0 -12.0 0.0 8.0 1.0 0.95 2.6166064495487337E9 2.5789489489202576E9 4.4232525440350884E8 60.0 0.2054794579744339 6.767123287671233 5.928271128570389 554.0 0.0 232.0 60.0
bcsstk17 60.0 58.0 0.0 59.0 25.033333333333335 15.0 1.0 16.0 -57.0 0.0 1.0 0.6833333333333333 0.6333333333333333 4.0154499354144573E8 3.788209820616862E8 1.3316548121799168E8 60.0 0.14423076808452606 13.17548076923077 16.60631468053225 1502.0 0.0 356.0 60.0
bcsstk18 60.0 18.0 0.0 19.0 5.116666666666666 8.0 1.0 10.0 -16.0 0.0 9.0 0.9166666666666666 0.8666666666666667 2.725833030936001E9 2.7246892536041384E9 7.895684793524362E7 60.0 0.44117647409439087 3.838235294117647 5.093566571197921 307.0 0.0 76.0 60.0
bcsstk19 60.0 5.0 0.0 6.0 4.85 6.0 1.0 2.0 -4.0 0.0 12.0 0.6833333333333333 0.6666666666666666 3.3349579687602744E12 3.2933112579011465E12 5.254004301285114E11 60.0 0.2097902148962021 2.055944055944056 1.5341165598636524 291.0 0.0 226.0 60.0
bcsstk20 60.0 5.0 0.0 6.0 4.516666666666667 4.0 1.0 3.0 -4.0 0.0 20.0 0.6833333333333333 0.6833333333333333 9.310308385581175E13 9.175707224948684E13 1.5774153405643264E13 60.0 0.34285715222358704 1.8571428571428572 1.6620616653998843 271.0 0.0 115.0 60.0
bcsstk21 60.0 10.0 0.0 11.0 7.3 3.0 1.0 6.0 -9.0 0.0 22.0 1.0 1.0 3.2862054382394326E8 3.196438621781749E8 7.628409529491782E7 60.0 0.4000000059604645 3.6 3.32264954516723 438.0 0.0 90.0 60.0
bcsstk22 60.0 37.0 0.0 38.0 5.066666666666666 6.0 1.0 35.0 -36.0 0.0 21.0 0.85 0.8 1.4768312116269117E7 1.44416974708832E7 3088756.5334656946 60.0 0.4195804297924042 2.734265734265734 6.36088467365061 304.0 0.0 83.0 60.0
bcsstk23 60.0 10.0 0.0 11.0 8.083333333333334 8.0 1.0 6.0 -9.0 0.0 15.0 0.6666666666666666 0.5833333333333334 6.278915938911405E15 6.251535023825205E15 5.857433002625626E14 60.0 0.2112676054239273 3.7746478873239435 2.9320818114875475 485.0 0.0 224.0 60.0
bcsstk24 60.0 23.0 0.0 24.0 11.3 18.0 1.0 1.0 -10.0 0.0 6.0 0.35 0.3 3.2832244397809555E13 3.12865010065512E13 9.955457144931502E12 60.0 0.09345794469118118 5.928348909657321 4.785541576177922 678.0 0.0 582.0 60.0
bcsstk25 60.0 43.0 0.0 44.0 15.483333333333333 9.0 1.0 7.0 -24.0 0.0 8.0 0.8333333333333334 0.8 1.0126007345459064E15 9.881436624095788E14 2.2120657775638947E14 60.0 0.2542372941970825 8.889830508474576 10.643915981860241 929.0 0.0 176.0 60.0
bcsstk26 60.0 34.0 0.0 35.0 16.7 14.0 1.0 4.0 -15.0 0.0 5.0 0.6333333333333333 0.48333333333333334 1.1131907919230253E10 1.042488126296915E10 3.9040010982600875E9 60.0 0.1785714328289032 10.023809523809524 10.572286537470761 1002.0 0.0 276.0 60.0
bcsstk27 60.0 42.0 0.0 43.0 24.05 25.0 1.0 13.0 -29.0 0.0 3.0 0.7166666666666667 0.5833333333333334 3116187.539596056 3066766.121709653 552784.1682498264 60.0 0.07604562491178513 15.310519645120406 12.919803463277432 1443.0 0.0 729.0 60.0
bcsstk28 60.0 23.0 0.0 24.0 13.7 24.0 1.0 1.0 -22.0 0.0 2.0 0.45 0.4166666666666667 1.2266958948859435E7 1.1457207962618502E7 4382997.553537277 60.0 0.07299269735813141 7.520681265206813 5.428494302056461 822.0 0.0 762.0 60.0
bcsstk29 60.0 41.0 0.0 42.0 21.433333333333334 24.0 1.0 2.0 -10.0 0.0 6.0 0.03333333333333333 0.13333333333333333 28.35489375751565 20.784609690826528 19.28730152198591 60.0 0.0746268630027771 12.851990049751244 11.185088399622227 1286.0 0.0 744.0 60.0
bcsstk30 60.0 34.0 0.0 35.0 15.933333333333334 30.0 1.0 6.0 -33.0 0.0 2.0 0.03333333333333333 0.08333333333333333 28.722813232690143 21.03568396796263 19.557607215607945 60.0 0.072727270424366 10.58060606060606 9.102173546414846 956.0 0.0 765.0 60.0
bcsstk31 60.0 49.0 0.0 50.0 25.1 15.0 1.0 4.0 -33.0 0.0 3.0 0.06666666666666667 0.2 22.315913604421397 16.703293088490067 14.79864858694874 60.0 0.1204819306731224 13.53012048192771 11.967832403375448 1506.0 0.0 438.0 60.0
bcsstk32 60.0 59.0 0.0 60.0 17.9 30.0 1.0 37.0 -58.0 0.0 2.0 0.03333333333333333 0.06666666666666667 26.038433132583073 19.209372712298546 17.578395831246944 60.0 0.08849557489156723 15.489675516224189 19.177306052893158 1074.0 0.0 618.0 60.0
bcsstk33 60.0 17.0 0.0 18.0 13.9 10.0 1.0 11.0 -16.0 0.0 6.0 0.03333333333333333 0.06666666666666667 20.92844953645635 15.7797338380595 13.747727084867519 60.0 0.13698630034923553 8.4337899543379 6.491578652285078 834.0 0.0 378.0 60.0
bcsstk34 60.0 53.0 0.0 54.0 24.333333333333332 19.0 1.0 19.0 -40.0 0.0 2.0 0.7166666666666667 0.6666666666666666 3.816379559315422E7 3.744873333682152E7 7353071.844045181 60.0 0.12295082211494446 16.32377049180328 16.35335005173371 1460.0 0.0 428.0 60.0
bcsstk35 60.0 35.0 0.0 36.0 13.5 24.0 1.0 1.0 -16.0 0.0 3.0 0.4666666666666667 0.5666666666666667 2.6519758095354807E7 2.5820726164998118E7 6048774.235191659 60.0 0.09646302461624146 8.115755627009646 7.498517066132855 810.0 0.0 562.0 60.0
bcsstk36 60.0 59.0 0.0 60.0 17.3 30.0 1.0 37.0 -58.0 0.0 2.0 0.5166666666666667 0.6166666666666667 3.752801613704001E7 3.6843307696904525E7 7136012.411224563 60.0 0.09345794469118118 16.021806853582554 19.56352758805403 1038.0 0.0 582.0 60.0
bcsstk37 60.0 34.0 0.0 35.0 20.933333333333334 15.0 1.0 4.0 -18.0 0.0 5.0 0.31666666666666665 0.36666666666666664 4.201866796712396E7 3.94091907389518E7 1.4576835837462297E7 60.0 0.12371134012937546 11.212371134020618 9.268851036259166 1256.0 0.0 425.0 60.0
bcsstk38 60.0 59.0 0.0 60.0 20.9 36.0 1.0 31.0 -58.0 0.0 2.0 0.55 0.45 1.1971526265445642E7 1.1424086426927563E7 3578783.3734866204 60.0 0.07633587718009949 18.033078880407125 18.438024239292556 1254.0 0.0 726.0 60.0
bcsstm02 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 0.8196259725167345 0.8196259725167345 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm05 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 1.2113775210297586 1.2113775210297586 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm06 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 22165.14447776979 22165.14447776979 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm07 60.0 47.0 0.0 48.0 16.616666666666667 16.0 1.0 35.0 -46.0 0.0 6.0 0.6833333333333333 0.65 5440.818882074757 5248.521091460584 1433.7142183973103 60.0 0.1428571492433548 11.557142857142857 15.973462260845002 997.0 0.0 360.0 60.0
bcsstm08 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 1035402.3276871757 1035402.3276871757 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm09 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 0.0011583743879907524 0.0011583743879907524 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm10 60.0 37.0 0.0 38.0 22.033333333333335 15.0 1.0 15.0 -27.0 0.0 6.0 0.6333333333333333 0.5166666666666667 56429.06318972755 54024.006027379604 16298.64857047717 60.0 0.14598539471626282 14.309002433090024 12.361717521259733 1322.0 0.0 351.0 60.0
bcsstm11 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 77.40385782823564 77.40385782823564 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm19 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 1.4190782683823004E7 1.4190782683823004E7 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm20 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 1856445.2889256638 1856445.2889256638 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm21 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 8.043960719302395E-4 8.043960719302395E-4 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm22 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 0.024819686061008858 0.024819686061008858 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm23 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 3316663.674206689 3316663.674206689 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm24 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 1009036.5310173705 1009036.5310173705 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm25 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 4.078913311074371E8 4.078913311074371E8 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm26 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 1.5455415196555868 1.5455415196555868 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
bcsstm27 60.0 42.0 0.0 43.0 24.05 25.0 1.0 13.0 -29.0 0.0 3.0 0.55 0.5 4491.296964517589 4291.097904474854 1325.9815977970513 60.0 0.07604562491178513 15.310519645120406 12.919803463277432 1443.0 0.0 729.0 60.0
bcsstm34 60.0 53.0 0.0 54.0 24.333333333333332 19.0 1.0 19.0 -40.0 0.0 2.0 0.3333333333333333 0.36666666666666664 4.169877394596382 4.0940141654060085 0.7917862713010676 60.0 0.104347825050354 14.737391304347826 15.617456570019533 1460.0 0.0 515.0 60.0
bcsstm39 60.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 -59.0 0.0 1.0 1.0 1.0 122.43006737574716 122.43006737574716 0.0 60.0 1.0 0.0 0.0 60.0 0.0 0.0 60.0
beaflw 60.0 60.0 50.0 60.0 24.9 53.0 0.0 14.0 -25.0 36.0 9.0 0.7833333333333333 0.2 13100.862800370547 12197.2616786585 4781.151917316749 79.0 0.28315412998199463 14.670250896057349 12.130955557281958 2921.0 186.0 72.0 21.0
beause 60.0 60.0 50.0 60.0 23.816666666666666 53.0 0.0 14.0 -25.0 36.0 9.0 0.7833333333333333 0.18333333333333332 13441.107671461641 12492.068317272428 4961.008424949864 55.0 0.2107279747724533 15.137931034482758 12.305970653591064 2899.0 170.0 70.0 21.0
bfwa398 60.0 10.0 10.0 21.0 17.916666666666668 9.0 3.0 9.0 -18.0 0.0 12.0 1.0 1.0 16.689432051101296 16.67759196139028 0.6285447937081003 336.0 0.9767441749572754 5.287790697674419 4.0536047412214495 1064.0 142.0 142.0 60.0
bfwa62 60.0 48.0 48.0 53.0 38.11666666666667 21.0 3.0 14.0 -38.0 0.0 5.0 0.43333333333333335 0.4666666666666667 30.26223119349078 30.06336828451551 3.463599889980543 428.0 0.9727272987365723 15.352272727272727 15.030000130592832 3041.0 193.0 187.0 60.0
bfwa782 60.0 14.0 14.0 29.0 22.783333333333335 7.0 3.0 13.0 -23.0 0.0 12.0 1.0 1.0 14.009014520639703 14.009014520639708 0.0 336.0 1.0 7.119047619047619 5.903801765256571 1342.0 138.0 138.0 60.0
bfwb398 60.0 10.0 0.0 11.0 9.366666666666667 4.0 1.0 9.0 -9.0 0.0 17.0 1.0 1.0 3.533365299936608E-5 3.5268439680192206E-5 2.1457392209342668E-6 60.0 0.3030303120613098 4.555555555555555 4.2097103291075 562.0 0.0 138.0 60.0
bfwb62 60.0 48.0 0.0 49.0 22.966666666666665 6.0 1.0 23.0 -40.0 0.0 9.0 0.9333333333333333 1.0 5.091743151587143E-4 4.96150029475826E-4 1.1442740698138182E-4 60.0 0.3030303120613098 9.328282828282829 13.256532907517297 1378.0 0.0 138.0 60.0
bfwb782 60.0 14.0 0.0 15.0 11.683333333333334 4.0 1.0 13.0 -13.0 0.0 16.0 1.0 1.0 2.3050140800075075E-5 2.3004272966555425E-5 1.4534153513338367E-6 60.0 0.3030303120613098 6.040404040404041 6.007435110296922 701.0 0.0 138.0 60.0
big 60.0 12.0 12.0 24.0 4.8 7.0 1.0 11.0 -22.0 0.0 9.0 0.9833333333333333 0.9833333333333333 99.65942002640794 99.65942002640794 0.0 108.0 1.0 3.3703703703703702 4.8963187089754285 268.0 24.0 24.0 60.0
blckhole 60.0 11.0 0.0 12.0 7.983333333333333 4.0 1.0 5.0 -5.0 0.0 16.0 0.2 0.18333333333333332 14.352700094407323 11.532562594670797 8.54400374531753 60.0 0.291262149810791 3.5776699029126213 3.713173401091025 479.0 0.0 146.0 60.0
bwm200 60.0 1.0 1.0 3.0 2.966666666666667 3.0 2.0 1.0 -1.0 0.0 20.0 0.03333333333333333 0.03333333333333333 5838.669819561913 5838.669819561912 0.0 178.0 1.0 0.6629213483146067 0.47271199928005886 178.0 59.0 59.0 60.0
bwm2000 60.0 1.0 1.0 3.0 2.966666666666667 3.0 2.0 1.0 -1.0 0.0 20.0 0.03333333333333333 0.03333333333333333 576248.4802630219 576248.4802630215 0.0 178.0 1.0 0.6629213483146067 0.47271199928005886 178.0 59.0 59.0 60.0
can_1054 60.0 52.0 0.0 53.0 17.8 8.0 1.0 41.0 -51.0 0.0 7.0 0.25 0.3333333333333333 15.0996688705415 12.0 9.16515138991168 60.0 0.2631579041481018 13.407894736842104 19.790909860633658 1068.0 0.0 168.0 60.0
can_1072 60.0 56.0 0.0 57.0 15.55 8.0 1.0 45.0 -55.0 0.0 7.0 0.26666666666666666 0.3333333333333333 14.628738838327793 11.704699910719626 8.774964387392123 60.0 0.28037384152412415 11.672897196261681 19.477893388623684 933.0 0.0 154.0 60.0
can_144 60.0 54.0 0.0 55.0 14.516666666666667 7.0 1.0 47.0 -53.0 0.0 6.0 0.21666666666666667 0.26666666666666666 14.628738838327793 11.704699910719626 8.774964387392123 60.0 0.28037384152412415 11.144859813084112 19.781340842852273 871.0 0.0 154.0 60.0
can_161 60.0 31.0 0.0 32.0 14.366666666666667 6.0 1.0 14.0 -30.0 0.0 11.0 0.25 0.25 15.84297951775486 12.469963913339926 9.772410142846033 60.0 0.23904383182525635 8.752988047808765 7.981224296483176 862.0 0.0 191.0 60.0
can_187 60.0 34.0 0.0 35.0 17.416666666666668 6.0 1.0 30.0 -32.0 0.0 12.0 0.5166666666666667 0.5166666666666667 14.2828568570857 11.489125293076057 8.485281374238571 60.0 0.29411765933036804 13.622549019607844 15.545937032176013 1045.0 0.0 144.0 60.0
can_229 60.0 47.0 0.0 48.0 17.083333333333332 6.0 1.0 22.0 -46.0 0.0 11.0 0.38333333333333336 0.38333333333333336 15.066519173319364 11.979148550710939 9.137833441248533 60.0 0.26431718468666077 11.766519823788546 11.946766202204488 1025.0 0.0 167.0 60.0
can_24 24.0 21.0 0.0 22.0 10.916666666666666 8.0 1.0 9.0 -20.0 0.0 3.0 0.3333333333333333 0.3333333333333333 9.591663046625438 7.615773105863908 5.8309518948453 24.0 0.260869562625885 6.380434782608695 6.093193621297148 262.0 0.0 68.0 24.0
can_256 60.0 50.0 0.0 51.0 24.266666666666666 8.0 1.0 27.0 -46.0 0.0 6.0 0.25 0.35 16.186414056238647 12.688577540449522 10.049875621120892 60.0 0.22900763154029846 16.236641221374047 17.18370969246576 1456.0 0.0 202.0 60.0
can_268 60.0 58.0 0.0 59.0 18.65 8.0 1.0 46.0 -57.0 0.0 8.0 0.13333333333333333 0.25 16.941074346097416 13.171939872319491 10.653637876331258 60.0 0.2090592384338379 11.578397212543553 13.2394177139026 1119.0 0.0 227.0 60.0
